1,6,6,6,1,6,6,6,6,6,1,6,6,6,1,6,6,1,6,6,1,0,0,0,1
7,0,0,0,7,18,18,18,18,18,7,18,18,18,18,18,18,7,0,0,0,0,0,0,7
7,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,7
7,0,0,0,7,0,0,0,0,0,7,19,0,17,1,16,0,7,19,0,1,0,25,0,7
1,6,6,6,1,0,1,0,0,0,7,19,0,17,7,1,0,7,0,17,1,6,6,6,1
7,0,0,0,0,0,7,0,1,0,7,19,0,17,7,18,0,7,0,0,0,0,0,0,7
7,0,1,6,6,6,1,0,18,0,7,19,0,17,7,0,0,7,0,16,16,0,0,0,7
7,0,0,0,0,0,7,0,0,0,7,19,0,17,7,0,1,1,6,6,6,1,0,0,7
1,6,6,6,1,0,7,1,0,1,7,19,0,17,7,0,18,0,18,0,18,0,0,0,7
7,0,0,0,0,0,7,18,0,18,7,19,0,22,7,0,0,21,0,0,0,21,0,0,7
7,0,1,6,6,6,1,0,0,0,7,19,0,17,1,6,6,6,6,6,6,6,6,6,7
7,0,0,0,0,0,7,0,1,0,7,19,0,0,18,18,18,18,18,18,18,18,18,17,7
1,6,6,6,1,0,7,0,18,0,7,19,0,0,0,0,0,0,0,0,0,0,0,17,7
7,0,0,0,0,0,7,0,0,0,7,16,0,21,16,0,16,21,0,16,0,21,0,17,7
7,0,1,6,6,6,1,1,0,1,1,6,6,6,6,6,6,6,6,6,6,1,0,17,7
7,0,0,0,0,0,7,0,0,0,18,18,0,0,18,0,0,0,18,0,0,18,0,17,7
1,6,6,6,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7
7,0,0,0,0,0,7,0,25,0,1,16,0,21,16,16,0,21,16,16,0,21,16,17,7
1,0,1,6,6,6,1,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,1
